image_id,style,decision,reason,confidence
ARC_0022,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0023,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0024,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0025,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0026,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0027,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0028,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0029,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0030,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0031,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0032,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0033,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0034,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0035,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0036,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0037,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0038,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0039,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0040,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0041,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0042,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0043,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0044,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0045,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0046,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0047,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0048,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0049,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0050,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0051,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0052,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0053,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0054,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0055,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0056,Bauhaus architecture,KEEP,"Planar unornamented facades, continuous industrial glass curtain walls, steel sash windows, cubic volumes, or flat rooflines clearly exhibit Bauhaus / Early Modernist principles.",HIGH
ARC_0057,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0058,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0059,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0060,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0061,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0062,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0063,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0064,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0065,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0066,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0067,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0068,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0069,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0070,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0071,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0072,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0073,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0074,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0075,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0076,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0077,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0078,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0079,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0080,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0081,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0082,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0083,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0084,International style,KEEP,"Rigid rectilinear modular steel-and-glass curtain walls, pilotis columns, horizontal ribbon glazing, and flat roof slabs are authentic International Style visual markers.",HIGH
ARC_0085,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0086,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0087,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0088,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0089,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0090,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0091,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0092,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0093,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0094,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0095,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0096,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0097,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0098,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0099,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0100,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0101,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0102,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0103,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0104,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0105,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0106,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0107,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0108,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0109,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0110,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0111,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
ARC_0112,Postmodern architecture,KEEP,"Visible historicist quotations (broken pediments, exaggerated columns, polychrome masonry banding, pastel panels, eclectic keystones) provide strong evidence for Postmodern style.",HIGH
