image_id,filename,split,style,building_name,width,height,aspect_ratio,mode,architectural_elements,materials,license,source_url
ARC_0011,ARC_0011.jpg,train,Brutalism architecture,20241013 171013044 Milutina Milankovića,1024,1360,0.75,RGB,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,CC BY 4.0,https://upload.wikimedia.org/wikipedia/commons/a/a7/20241013_171013044_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0012,ARC_0012.jpg,train,Brutalism architecture,20241013 171550375 Milutina Milankovića,1024,1360,0.75,RGB,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY 4.0,https://upload.wikimedia.org/wikipedia/commons/a/aa/20241013_171550375_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0013,ARC_0013.jpg,train,Brutalism architecture,20241013 164737561 Milutina Milankovića,1360,1024,1.33,RGB,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC BY 4.0,https://upload.wikimedia.org/wikipedia/commons/f/f9/20241013_164737561_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0014,ARC_0014.jpg,train,Brutalism architecture,20241013 163115508 Milutina Milankovića,1024,1360,0.75,RGB,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY 4.0,https://upload.wikimedia.org/wikipedia/commons/9/9c/20241013_163115508_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0015,ARC_0015.jpg,train,Brutalism architecture,20241013 162541625 Milutina Milankovića,1024,1360,0.75,RGB,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY 4.0,https://upload.wikimedia.org/wikipedia/commons/2/20/20241013_162541625_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0016,ARC_0016.jpg,train,Brutalism architecture,106  110 James Street St. Catharines,1365,1024,1.33,RGB,exposed concrete tower;modular grid;recessed windows,reinforced concrete;glass,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/c/ce/106_-_110_James_Street%2C_St._Catharines.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0017,ARC_0017.jpg,train,Brutalism architecture,20150630 former library Doetinchem 01,1365,1024,1.33,RGB,monolithic sculpted concrete;projecting staircase,cast-in-place concrete,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/6/68/2015-06-30_former_library_Doetinchem_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0018,ARC_0018.jpg,train,Brutalism architecture,20150630 former library Doetinchem 03,1365,1024,1.33,RGB,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/8/8c/2015-06-30_former_library_Doetinchem_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0019,ARC_0019.jpg,train,Brutalism architecture,Abraham Lincoln Building National Agricultural Library,1024,1111,0.92,RGB,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/d/d7/Abraham_Lincoln_Building%2C_National_Agricultural_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0020,ARC_0020.jpg,train,Brutalism architecture,Blok mieszkalny SPN,1024,1365,0.75,RGB,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC0,https://upload.wikimedia.org/wikipedia/commons/0/09/Blok_mieszkalny_SPN.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0021,ARC_0021.jpg,train,Brutalism architecture,Berlin Wedding bayer parkhaus 14.11.2015 134001,1301,1024,1.27,RGB,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/6/6c/Berlin_Wedding_bayer_parkhaus_14.11.2015_13-40-01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0022,ARC_0022.jpg,train,Brutalism architecture,Az új központ  panoramio,1365,1024,1.33,RGB,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/e/ee/Az_%C3%BAj_k%C3%B6zpont_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0023,ARC_0023.jpg,val,Brutalism architecture,BenGurionUniversity,1365,1024,1.33,RGB,exposed concrete tower;modular grid;recessed windows,reinforced concrete;glass,CC BY-SA 2.0,https://upload.wikimedia.org/wikipedia/commons/b/be/BenGurionUniversity.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0024,ARC_0024.jpg,val,Brutalism architecture,Biberacher Straße 3993 UlmWiblingen,1820,1024,1.78,RGB,monolithic sculpted concrete;projecting staircase,cast-in-place concrete,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/b/b0/Biberacher_Stra%C3%9Fe_39-93_%28Ulm-Wiblingen%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0025,ARC_0025.jpg,val,Brutalism architecture,Aluštan kaupunginvaltuuston rakennus,1365,1024,1.33,RGB,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,Public domain,https://upload.wikimedia.org/wikipedia/commons/a/aa/Alu%C5%A1tan_kaupunginvaltuuston_rakennus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0026,ARC_0026.jpg,test,Brutalism architecture,Batten Arts and Letters building.JPG,1024,1365,0.75,RGB,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/6/67/Batten_Arts_and_Letters_building.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0027,ARC_0027.jpg,test,Brutalism architecture,1180 S Beverly Drive Los Angeles,1024,1316,0.78,RGB,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/6/64/1180_S_Beverly_Drive%2C_Los_Angeles.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0028,ARC_0028.jpg,test,Brutalism architecture,720 Spadina Avenue.JPG,1024,1240,0.83,RGB,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/7/7b/720_Spadina_Avenue.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
